Fibonacci Output File
Parameter    Answer     Unoptimized Calls     Optimized Calls     Table Access Count

        1         1                     1                   1                      2

        2         1                     1                   1                      2

        3         2                     3                   3                      6

        4         3                     5                   5                     10

        5         5                     9                   7                     14

        6         8                    15                   9                     18

        7        13                    25                  11                     22

        8        21                    41                  13                     26

        9        34                    67                  15                     30

       10        55                   109                  17                     34

       11        89                   177                  19                     38

       12       144                   287                  21                     42

       13       233                   465                  23                     46

       14       377                   753                  25                     50

       15       610                 1,219                  27                     54

       16       987                 1,973                  29                     58

       17     1,597                 3,193                  31                     62

       18     2,584                 5,167                  33                     66

       19     4,181                 8,361                  35                     70

       20     6,765                13,529                  37                     74

       21    10,946                21,891                  39                     78

       22    17,711                35,421                  41                     82

       23    28,657                57,313                  43                     86

       24    46,368                92,735                  45                     90

       25    75,025               150,049                  47                     94

       26   121,393               242,785                  49                     98

       27   196,418               392,835                  51                    102

       28   317,811               635,621                  53                    106

       29   514,229             1,028,457                  55                    110

       30   832,040             1,664,079                  57                    114

